,dataset_id,effect,num_students,algorithm_name,avg_reward,power,FPR,prop_opt,prop_sup,arm_1_mean_mean,arm_2_mean_mean,superior_arm_mean_mean,inferior_arm_mean_mean,more_sample_arm_mean_mean,less_sample_arm_mean_mean,avg_reward_se,power_se,FPR_se,prop_opt_se,prop_sup_se,arm_1_mean_se,arm_2_mean_se,superior_arm_mean_se,inferior_arm_mean_se
44,226210,0,762,uniform,13.9392979003,,0.057,,0.5013530184,13.9506816883,13.9255866432,14.276809366,13.5994589655,13.959083999050714,13.916339188076691,0.4065238202,,0.0073315073,,0.0187136549,0.5901045119,0.5885009278,0.4786099452,0.4862121918
66,226210,0,762,ts,13.9484041995,,0.121,,0.6995013123,13.4451965313,13.4410238452,14.1610720325,12.725148344,14.10276538891989,12.78345498759314,0.4429260543,,0.01031305,,0.1901850274,1.5719924466,1.4801124741,0.4646554667,1.8479877628
0,226210,0,762,exp3,13.9470439633,,0.046,,0.5667283465,13.8847581316,13.8992817487,14.1478113941,13.6362284861,14.036393695813182,13.748024137164206,0.2929409615,,0.0066245,,0.1300990299,0.4519093936,0.4552325286,0.3200644911,0.4222137
22,226210,0,762,exp31,13.9456686352,,0.06,,0.5123976378,13.9466971602,13.9225724866,14.1824039364,13.6868657103,14.037927370996929,13.829947262608865,0.3060422923,,0.0075099933,,0.0400980207,0.4400589007,0.4339306077,0.3476116828,0.3723246695
67,226210,0,762,exp3++,13.91782021,,0.059,,0.5315682415,13.8583404777,13.9099859903,14.2317729671,13.5365535009,14.095809533029012,13.668897512387613,0.4155216776,,0.0074511073,,0.0570112329,0.6165054214,0.5938065596,0.4676334163,0.5231373903
45,237447,0,692,uniform,22.3016893064,,0.058,,0.5002109827,22.3033082,22.2998871759,22.4780404594,22.1251549165,22.308776265369087,22.294829515153804,0.2156304984,,0.0073916169,,0.0190243172,0.3103415109,0.3047411473,0.2473968247,0.2563505021
68,237447,0,692,ts,22.2990910405,,0.075,,0.6964768786,22.1094770827,22.0920408645,22.4082083681,21.7933095792,22.382501877517278,21.81868080963624,0.2064479724,,0.0083291656,,0.178153912,0.6250111087,0.6370663855,0.2143898836,0.7494205721
1,237447,0,692,exp3,22.2926885838,,0.043,,0.5226206647,22.2816353804,22.2799880782,22.4037496682,22.1578737905,22.30500729427726,22.256616164398476,0.1530156253,,0.0064149045,,0.1623591261,0.2328002711,0.219577266,0.1771632376,0.2019831982
23,237447,0,692,exp31,22.2958952312,,0.059,,0.5085433526,22.2917570594,22.2946643182,22.4182913128,22.1681300648,22.314835455900013,22.2726090430486,0.150646563,,0.0074511073,,0.0476365496,0.2180396905,0.2189386695,0.1706677714,0.1872481256
69,237447,0,692,exp3++,22.293833815,,0.05,,0.5158323699,22.2836909978,22.2871818096,22.458624892,22.1122479154,22.401932542625474,22.16876974451429,0.2165878006,,0.0068920244,,0.0246785976,0.3101076983,0.3028019355,0.2425816,0.2627309496
46,241501,0,273,uniform,13.1607069597,,0.062,,0.5014395604,13.1544106797,13.1655750154,13.481840453,12.8381452421,13.175716242870429,13.144269452233951,0.3928796901,,0.0076260081,,0.0303308097,0.5682889913,0.5564798838,0.4489563731,0.4732345852
